mode,loss,run,packets_requested,sent_packets,retransmissions,delivered_packets,fec_recoveries,duration_sec,goodput_bytes,goodput_bytes_per_sec
baseline,0.0,1,200,200,0,200,0,0.33992886543273926,40000,117671.6780114535
baseline,0.0,2,200,200,0,200,0,0.3632946014404297,40000,110103.48031983871
baseline,0.0,3,200,200,0,200,0,0.3423759937286377,40000,116830.62110862664
baseline,0.01,1,200,200,0,198,0,0.3780379295349121,39600,104751.39372580578
baseline,0.01,2,200,200,0,197,0,0.35274577140808105,39400,111695.17310646742
baseline,0.01,3,200,200,0,200,0,0.33927202224731445,40000,117899.49473299555
baseline,0.05,1,200,200,0,190,0,0.36380958557128906,38000,104450.24404821197
baseline,0.05,2,200,200,0,189,0,0.37427735328674316,37800,100994.62248532168
baseline,0.05,3,200,,,,,,,
baseline,0.1,1,200,200,0,177,0,0.37636876106262207,35400,94056.69030568129
baseline,0.1,2,200,200,0,184,0,0.35494470596313477,36800,103678.12051216258
baseline,0.1,3,200,200,0,182,0,0.3664836883544922,36400,99322.29225108383
baseline,0.2,1,200,200,0,156,0,0.37825560569763184,31200,82483.90646440415
baseline,0.2,2,200,200,0,159,0,0.33153223991394043,31800,95918.2733125885
baseline,0.2,3,200,200,0,163,0,0.3670015335083008,32600,88827.96670729078
arq,0.0,1,200,400,200,200,0,0.46370363235473633,40000,86261.99410359532
arq,0.0,2,200,400,200,200,0,0.46440982818603516,40000,86130.82146912842
arq,0.0,3,200,400,200,200,0,0.4711332321166992,40000,84901.6738222619
arq,0.01,1,200,400,200,200,0,0.465364933013916,40000,85954.04845169943
arq,0.01,2,200,400,200,200,0,0.4524824619293213,40000,88401.21632437565
arq,0.01,3,200,400,200,200,0,0.45724964141845703,40000,87479.56559553332
arq,0.05,1,200,401,201,200,0,0.5625972747802734,40000,71098.81578367457
arq,0.05,2,200,402,202,200,0,0.5569195747375488,40000,71823.65607969553
arq,0.05,3,200,401,201,200,0,0.5638606548309326,40000,70939.51255030121
arq,0.1,1,200,412,212,200,0,0.771721363067627,40000,51832.17922204228
arq,0.1,2,200,411,211,200,0,0.6830065250396729,40000,58564.59423674843
arq,0.1,3,200,405,205,200,0,0.5635049343109131,40000,70984.29412852321
arq,0.2,1,200,,,,,,,
arq,0.2,2,200,445,245,200,0,0.7681779861450195,40000,52071.265672079084
arq,0.2,3,200,441,241,200,0,1.0963807106018066,40000,36483.677260286604
fec,0.0,1,200,250,0,201,39,0.34046173095703125,40000,117487.50700280113
fec,0.0,2,200,250,0,201,39,0.3652629852294922,40000,109510.13822237772
fec,0.0,3,200,250,0,201,41,0.3619849681854248,40000,110501.82608552469
fec,0.01,1,200,250,0,201,39,0.34667015075683594,40000,115383.45575087343
fec,0.01,2,200,250,0,201,37,0.35248756408691406,40000,113479.18075809637
fec,0.01,3,200,250,0,201,43,0.33524489402770996,40000,119315.76203721022
fec,0.05,1,200,250,0,200,39,0.35695719718933105,39800,111497.96197802946
fec,0.05,2,200,250,0,201,38,0.34282898902893066,40000,116676.24757550616
fec,0.05,3,200,250,0,201,38,0.3587625026702881,40000,111494.37218850327
fec,0.1,1,200,250,0,190,38,0.3683357238769531,37800,102623.76834408692
fec,0.1,2,200,250,0,198,36,0.36269617080688477,39400,108630.86839970603
fec,0.1,3,200,250,0,197,34,0.36052393913269043,39200,108730.64378000287
fec,0.2,1,200,250,0,179,28,0.3753340244293213,35600,94848.84844673546
fec,0.2,2,200,250,0,175,22,0.3490164279937744,34800,99708.77359566795
fec,0.2,3,200,250,0,190,38,0.3650481700897217,37800,103547.97831395648
